Date,Clicks,Impressions,CTR,Position
2026-05-10,35,3798,0.92%,6.5
2026-05-11,21,3863,0.54%,6
2026-05-12,52,4763,1.09%,6.3
2026-05-13,52,6920,0.75%,7.5
2026-05-14,47,7570,0.62%,7.5
2026-05-15,39,6756,0.58%,7.4
2026-05-16,50,7579,0.66%,7.9
