Date,Clicks,Impressions,CTR,Position
2026-05-07,22,2898,0.76%,6
2026-05-08,15,2588,0.58%,6.2
2026-05-09,28,2925,0.96%,6.5
2026-05-10,35,3798,0.92%,6.5
2026-05-11,21,3863,0.54%,6
2026-05-12,52,4763,1.09%,6.3
2026-05-13,52,6920,0.75%,7.5
