Date,Clicks,Impressions,CTR,Position
2026-07-14,110,7570,1.45%,7.1
2026-07-15,87,6288,1.38%,6.9
2026-07-16,71,4665,1.52%,5.9
2026-07-17,75,5755,1.3%,5.5
2026-07-18,97,5089,1.91%,5.6
2026-07-19,77,4704,1.64%,6.1
2026-07-20,90,5595,1.61%,6
